Model,Featurizer,Transformation,Training_dataset,Mode,AUC_avg,AUC_std,Repeat_1,Repeat_2,Repeat_3,Repeat_4,Repeat_5,Repeat_6,Repeat_7,Repeat_8,Repeat_9,Repeat_10
RandomForestClassifier,concat_w,original,1440_pairs,Standard,0.861564209161898,0.004328133026239271,0.8616705131042331,0.8540197907116437,0.8678827732287945,0.8634685909392683,0.8572128608011128,0.8630220353450729,0.868760077139515,0.8581652492807689,0.8614373557585913,0.8600028453099806
MLPClassifier,concat_w,original,1440_pairs,Standard,0.4946172267712055,0.009640543040018231,0.5133966678258671,0.5007943157029496,0.49541588947551457,0.4791818153077677,0.500035566374759,0.48443773513325533,0.49059862160538714,0.48471436249249145,0.5017585596408587,0.49583873415320406
LinearSVC,concat_w,original,1440_pairs,Standard,0.5751438462268028,0.03237743509924931,0.5576214789288989,0.5390518794853151,0.5204546173058076,0.6049603237330468,0.5996332711580412,0.60608659226708,0.5658215042205432,0.6086197085137999,0.6079716101293036,0.5412174765261926
GaussianNB,concat_w,original,1440_pairs,Stratified,0.4983141538364263,0.005466777697697506,0.4997273244601815,0.5048607378837217,0.4983678985805065,0.496281337927982,0.5016281496000758,0.49541984129493216,0.5091287028547943,0.4950207075337485,0.4896501849451488,0.4930566532831716
KNeighborsClassifier,concat_w,original,1440_pairs,Stratified,0.6696634630583921,0.008399297430686074,0.6567331099238088,0.6755398185324524,0.656626410799532,0.672394170275995,0.6753303721033164,0.6708529607031077,0.6805191109987038,0.6597483481394834,0.6783772248743322,0.670513104233189
DecisionTreeClassifier,concat_w,original,1440_pairs,Stratified,0.6328198602636654,0.016439930307969138,0.6160096108248239,0.6259049666466441,0.6444627106319749,0.6350573804179444,0.6445812652145048,0.6369147355442445,0.6061142550030033,0.6114334039391737,0.650643356201195,0.6570769182131453
RandomForestClassifier,concat_w,original,1440_pairs,Stratified,0.8611595428535297,0.004379399806391564,0.8621842496285289,0.8552448547311182,0.8611923429546964,0.8621091650595935,0.8590227940944011,0.8561458695583447,0.8641087856849293,0.8666498055704848,0.8689062944579684,0.8560312667952327
MLPClassifier,concat_w,original,1440_pairs,Stratified,0.505270541557333,0.01855309959979078,0.5208379437893206,0.47455423476968794,0.48224052353703645,0.4982216812620531,0.5062122601245613,0.5119344946413329,0.4900018968733204,0.5097688976004552,0.519300686035851,0.539632796939711
LinearSVC,concat_w,original,1440_pairs,Stratified,0.5746672568050329,0.030129965619896053,0.5183522493756125,0.5981078688628245,0.5429720843476337,0.6261578830893743,0.6079953210458093,0.5632923397932408,0.580103379595966,0.5674377983623661,0.5578151180803641,0.5844385254971388
GaussianNB,concat_w,original,1440_pairs,LODO,0.3615480067022857,0.0,0.3615480067022857,0.3615480067022857,0.3615480067022857,0.3615480067022857,0.3615480067022857,0.3615480067022857,0.3615480067022857,0.3615480067022857,0.3615480067022857,0.3615480067022857
KNeighborsClassifier,concat_w,original,1440_pairs,LODO,0.5756852454870224,1.1102230246251565e-16,0.5756852454870223,0.5756852454870223,0.5756852454870223,0.5756852454870223,0.5756852454870223,0.5756852454870223,0.5756852454870223,0.5756852454870223,0.5756852454870223,0.5756852454870223
DecisionTreeClassifier,concat_w,original,1440_pairs,LODO,0.5590291170054693,0.015710812323238607,0.575060858019032,0.5285400398343397,0.5508124940722708,0.5635610635136418,0.5617037083873415,0.549579526413961,0.5852091302835827,0.5459833707438905,0.574199361385982,0.5556416174006512
RandomForestClassifier,concat_w,original,1440_pairs,LODO,0.703034602130821,0.007080514507658791,0.6961169422402074,0.6924259429041131,0.7174172489013944,0.7121810881729949,0.7038387973823148,0.7047002940153646,0.7026018779045873,0.6984485156966267,0.7044552812114697,0.6981600328791375
MLPClassifier,concat_w,original,1440_pairs,LODO,0.5086675255287534,0.02403984572251325,0.48647687395276784,0.5323574973917992,0.47875106699124276,0.5045129777749676,0.5498601055926149,0.5307767696247352,0.4816200878884639,0.5182653093484241,0.4831099238089216,0.5209446429135974
LinearSVC,concat_w,original,1440_pairs,LODO,0.5682068224210426,0.062462552003082136,0.5753058708229268,0.6084537320982581,0.5989693654958743,0.5571828269735386,0.6199851411589895,0.6099238089216276,0.5959501754607821,0.5824586639688912,0.39492902532325885,0.5389096139862793
GaussianNB,concat_w,original,1440_pairs,LOEO,0.14705510416995987,2.7755575615628914e-17,0.14705510416995984,0.14705510416995984,0.14705510416995984,0.14705510416995984,0.14705510416995984,0.14705510416995984,0.14705510416995984,0.14705510416995984,0.14705510416995984,0.14705510416995984
KNeighborsClassifier,concat_w,original,1440_pairs,LOEO,0.6516392146944454,0.0,0.6516392146944454,0.6516392146944454,0.6516392146944454,0.6516392146944454,0.6516392146944454,0.6516392146944454,0.6516392146944454,0.6516392146944454,0.6516392146944454,0.6516392146944454
DecisionTreeClassifier,concat_w,original,1440_pairs,LOEO,0.5849577945686194,0.013755278224901945,0.5887894786759824,0.6007951060668332,0.575432329044292,0.5800085359299422,0.617495494925864,0.5701131801081216,0.577779709778382,0.5790126774366918,0.5870664854098828,0.5730849483102021
RandomForestClassifier,concat_w,original,1440_pairs,LOEO,0.826725759539692,0.004057468711337145,0.8286530618696849,0.8211090386013722,0.8251873162403971,0.818971104296418,0.8287834719104674,0.827210647782239,0.8285147481900668,0.8343871518447092,0.8271474186715564,0.8272936359900098
MLPClassifier,concat_w,original,1440_pairs,LOEO,0.5123601055926149,0.019676177142356175,0.5403796908096488,0.5319504599917801,0.5036870475166767,0.5083146280547564,0.512827605829724,0.5107726597325408,0.478399355063071,0.5136377288103443,0.4848645316303626,0.5387673484872436
LinearSVC,concat_w,original,1440_pairs,LOEO,0.577642976826531,0.03590075894680335,0.588643261357529,0.6145671967373779,0.5132504505074136,0.5425887578641206,0.6415423160823244,0.5625454459233031,0.6048062027757579,0.5490697417090828,0.5708995921722361,0.5885168031361638
GaussianNB,concat_w,original,1440_pairs,External,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
KNeighborsClassifier,concat_w,original,1440_pairs,External,0.605263157894737,1.1102230246251565e-16,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368
DecisionTreeClassifier,concat_w,original,1440_pairs,External,0.6041666666666667,0.07070965793184415,0.7353801169590642,0.5921052631578947,0.5467836257309941,0.6805555555555556,0.652046783625731,0.5197368421052632,0.4919590643274854,0.5921052631578947,0.5921052631578947,0.638888888888889
RandomForestClassifier,concat_w,original,1440_pairs,External,0.8124634502923976,0.03270961963393278,0.7266081871345029,0.8388157894736843,0.796783625730994,0.8340643274853801,0.8519736842105263,0.8077485380116959,0.8135964912280702,0.817982456140351,0.8293128654970761,0.8077485380116959
MLPClassifier,concat_w,original,1440_pairs,External,0.5062865497076023,0.006733087099221911,0.5,0.5,0.5124269005847953,0.5131578947368421,0.49926900584795325,0.5131578947368421,0.5131578947368421,0.49926900584795325,0.49926900584795325,0.5131578947368421
LinearSVC,concat_w,original,1440_pairs,External,0.43165204678362573,0.1670439999901141,0.5285087719298246,0.4619883040935673,0.2807017543859649,0.2807017543859649,0.31213450292397654,0.466374269005848,0.27923976608187134,0.7090643274853801,0.277046783625731,0.7207602339181286
GaussianNB,concat_w,standardization,1440_pairs,Standard,0.6900018968733204,0.007890411143318307,0.6903196231545004,0.6811672093832,0.6789383832316398,0.7005864500015806,0.7024438051278808,0.68153868040846,0.6861148872941102,0.6888337390534602,0.6921769782808005,0.6978992127975719
KNeighborsClassifier,concat_w,standardization,1440_pairs,Standard,0.6187648193228161,0.012474941247627668,0.6360927571053714,0.6148714868325377,0.6307419936138597,0.6105284372925295,0.6105679554867061,0.6048378173310992,0.6059048085738674,0.6315402611362271,0.6358951661344884,0.6066675097214758
DecisionTreeClassifier,concat_w,standardization,1440_pairs,Standard,0.6298378173310992,0.012830194923236463,0.6495289431254149,0.626394992254434,0.6035139578261831,0.624790553570864,0.6346859093926842,0.6315955866080745,0.6494103885428852,0.6315955866080745,0.627509405330214,0.619352850052164
RandomForestClassifier,concat_w,standardization,1440_pairs,Standard,0.8619546489203629,0.005286228893545539,0.8644130757800891,0.8597933988808447,0.8720637981726788,0.8544505390281686,0.865112547817015,0.862753311624672,0.8655156333976163,0.8567979197622585,0.8641443520596882,0.854501912680598
MLPClassifier,concat_w,standardization,1440_pairs,Standard,0.8222360974992886,0.013909707016184936,0.7869020897221081,0.833090955075717,0.826025101956941,0.8361654705826561,0.8358335177515729,0.8199946255255921,0.8300164395687775,0.8144936928962094,0.8155053586671304,0.8243337232461826
LinearSVC,concat_w,standardization,1440_pairs,Standard,0.7797556194872121,0.01397658619511194,0.7749043659700927,0.7883247447124657,0.7819702190888684,0.7668268470803957,0.7535408301982232,0.8093642312920868,0.78781100818817,0.7755919825487655,0.775236318801176,0.7839856469918751
GaussianNB,concat_w,standardization,1440_pairs,Stratified,0.682979118586197,0.014197485676412875,0.6697859694603395,0.6628623818405994,0.6929199203313205,0.6747336473712497,0.6985196484461444,0.6595191426132591,0.6903196231545004,0.6898533084632165,0.7009579210268407,0.6903196231545004
KNeighborsClassifier,concat_w,standardization,1440_pairs,Stratified,0.6138511270588979,0.011955975405833234,0.6224194619202681,0.6210639878600108,0.6181752078657015,0.6155432961335399,0.6243558534349215,0.5954601498529922,0.6264740286427871,0.6186336189181499,0.589212323353672,0.6071733426069362
DecisionTreeClassifier,concat_w,standardization,1440_pairs,Stratified,0.6320784989409124,0.01264621605267575,0.6479245044418451,0.651014827226455,0.6167525528753439,0.6380291486200247,0.6349388258354147,0.6323385286585945,0.6183569915589137,0.6437197685814549,0.623186114887294,0.6145237267237836
RandomForestClassifier,concat_w,standardization,1440_pairs,Stratified,0.8648477759160318,0.004022353915059966,0.8675903385918877,0.8659582371723942,0.8715856280231419,0.8606944137080713,0.8623660333217413,0.8702894312541495,0.8616428503683096,0.8648319686383611,0.8653140906073156,0.8582047674749456
MLPClassifier,concat_w,standardization,1440_pairs,Stratified,0.8200459991780216,0.009844997437961687,0.8406468338022826,0.8170228573235118,0.8245708324112422,0.8334071006291296,0.8155053586671304,0.808676614713414,0.8148651639214693,0.8082498182163068,0.8217176187916917,0.8157977933040372
