Model,Featurizer,Transformation,Training_dataset,Mode,AUC_avg,AUC_std,Repeat_1,Repeat_2,Repeat_3,Repeat_4,Repeat_5,Repeat_6,Repeat_7,Repeat_8,Repeat_9,Repeat_10
GaussianNB,concat_w,original,all_in_one,LODO,0.35827645419789617,0.0,0.35827645419789617,0.35827645419789617,0.35827645419789617,0.35827645419789617,0.35827645419789617,0.35827645419789617,0.35827645419789617,0.35827645419789617,0.35827645419789617,0.35827645419789617
KNeighborsClassifier,concat_w,original,all_in_one,LODO,0.6317336976477959,1.1102230246251565e-16,0.6317336976477957,0.6317336976477957,0.6317336976477957,0.6317336976477957,0.6317336976477957,0.6317336976477957,0.6317336976477957,0.6317336976477957,0.6317336976477957,0.6317336976477957
DecisionTreeClassifier,concat_w,original,all_in_one,LODO,0.6955715273127849,0.005172235914793424,0.6953204311294469,0.7032583104736808,0.6848499902801477,0.6985765816359591,0.7007257489686157,0.6926744713480354,0.6968810074086874,0.6914756895695185,0.6920642806229345,0.6998887616908223
RandomForestClassifier,concat_w,original,all_in_one,LODO,0.7763505194721041,0.007657447012850425,0.774502127567661,0.7760357042572954,0.761977017949327,0.7673553361988898,0.7855368598397303,0.7817974166792663,0.7778959759811651,0.7778149772123464,0.7717616692226279,0.7888281098127309
MLPClassifier,concat_w,original,all_in_one,LODO,0.5150223016610147,0.03331586974004268,0.4623814718016286,0.464876233881245,0.511447825993045,0.5436745361470506,0.5432209430416657,0.525844007171091,0.5633626368879193,0.5119149188932328,0.482596064539819,0.5409043782534505
LinearSVC,concat_w,original,all_in_one,LODO,0.5856038188219539,0.0520527474715851,0.48547962070976525,0.5664135905134242,0.5266485949413569,0.6491025336414885,0.6370769164308702,0.5983541050176038,0.6450795947901592,0.5834665313087241,0.6197377799857442,0.5446789208804026
GaussianNB,concat_w,original,all_in_one,LOEO,0.12503779942544874,0.0,0.12503779942544874,0.12503779942544874,0.12503779942544874,0.12503779942544874,0.12503779942544874,0.12503779942544874,0.12503779942544874,0.12503779942544874,0.12503779942544874,0.12503779942544874
KNeighborsClassifier,concat_w,original,all_in_one,LOEO,0.7584535715057131,0.0,0.7584535715057131,0.7584535715057131,0.7584535715057131,0.7584535715057131,0.7584535715057131,0.7584535715057131,0.7584535715057131,0.7584535715057131,0.7584535715057131,0.7584535715057131
DecisionTreeClassifier,concat_w,original,all_in_one,LOEO,0.6509250059399097,0.02240024322356382,0.63776810592479,0.6173024170032616,0.6425848327105428,0.6814588418256041,0.6433084217119901,0.6381299004255134,0.6272976650754909,0.6619651381299004,0.6884463356156987,0.6709884009763052
RandomForestClassifier,concat_w,original,all_in_one,LOEO,0.8669978616325033,0.0014144341571697848,0.8650290515584163,0.870104974404389,0.8677263105600794,0.8660658357992959,0.8649912521329677,0.8678532086312288,0.866632827181027,0.8670000215996717,0.8673807158131196,0.8671944186448366
MLPClassifier,concat_w,original,all_in_one,LOEO,0.4982083072337301,0.03480485459707391,0.575731148886537,0.4946810808475711,0.4786649242931507,0.4933284014082986,0.528930060263084,0.5308794306326543,0.48833887724906583,0.46266226753353346,0.46844287966822906,0.4604240015551763
